SourceFile,Author,BoundingBox,ColorMode,ContainerVersion,CreateDate,Creator,CreatorSubTool,CreatorTool,CreatorVersion,DateCreated,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Directory,DocChangeCount,DocumentID,Encryption,Error,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,FontComposite,FontFace,FontFamily,FontFileName,FontName,FontType,FontVersion,For,Format,GTS_PDFXConformance,GTS_PDFXVersion,HasVisibleOverprint,HasVisibleTransparency,HasXFA,HistoryAction,HistoryChanged,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,InstanceID,Language,Linearized,MaxPageSizeH,MaxPageSizeUnit,MaxPageSizeW,MetadataDate,MIMEType,ModifyDate,NPages,OriginalDocumentID,PageCount,PageImage,PageImageFormat,PageImageHeight,PageImagePageNumber,PageImageWidth,PageLayout,PageMode,PDFVersion,PlateNames,Producer,RenditionClass,StartupProfile,Subject,SwatchColorantA,SwatchColorantB,SwatchColorantBlack,SwatchColorantBlue,SwatchColorantCyan,SwatchColorantGreen,SwatchColorantL,SwatchColorantMagenta,SwatchColorantMode,SwatchColorantRed,SwatchColorantSwatchName,SwatchColorantTint,SwatchColorantType,SwatchColorantYellow,SwatchGroupName,SwatchGroupType,TaggedPDF,ThumbnailFormat,ThumbnailHeight,ThumbnailImage,ThumbnailWidth,Title,Trapped,UserAccess,VersionID,Warning,XMPToolkit
20-51145_BC_MANUAL_REVA_ForWeb.pdf,,,,,2015:03:26 17:32:38-06:00,Adobe InDesign CC 2014 (Macintosh),,Adobe InDesign CC 2014 (Macintosh),,,xmp.did:04b8b373-ba9c-46b7-8c74-48ed3a96b2ed,xmp.iid:04b8b373-ba9c-46b7-8c74-48ed3a96b2ed,xmp.did:8E6778040F206811822AD6C3A649A31A,default,.,,xmp.id:2f17bd53-a467-4651-847d-e55fd3ce778e,,,10.80,2024:04:18 13:11:36-04:00,2024:04:18 13:11:36-04:00,2024:04:18 13:11:36-04:00,20-51145_BC_MANUAL_REVA_ForWeb.pdf,rw-r--r--,624 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 2014 (Macintosh),2015:03:26 17:32:38-06:00,uuid:243af1df-8ab2-1b44-aeda-69b17f297416,,Yes,,,,2015:03:26 17:32:40-06:00,application/pdf,2015:03:26 17:32:40-06:00,,xmp.did:8E6778040F206811822AD6C3A649A31A,13,,,,,,,,1.5,,Adobe PDF Library 11.0,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,"Adobe XMP Core 5.6-c014 79.156797, 2014/08/20-09:53:02        "
20-51921_McCLAREN_FRE-TRA_GLOB_MANUAL_REV001.pdf,,,,,2016:01:26 15:00:33-07:00,Adobe InDesign CC 2015 (Macintosh),,Adobe InDesign CC 2015 (Macintosh),,,xmp.did:813ce4ac-c46f-4598-845e-2daaa725d574,xmp.iid:a18c5782-2e97-435a-aa9f-1f5f2335120d,xmp.did:8E6778040F206811822AD6C3A649A31A,default,.,,xmp.id:f18b0ae1-cb04-48ef-8a94-baa27ff75177,,,10.80,2024:04:18 13:11:39-04:00,2024:04:18 13:11:40-04:00,2024:04:18 13:11:40-04:00,20-51921_McCLAREN_FRE-TRA_GLOB_MANUAL_REV001.pdf,rw-r--r--,1591 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 2015 (Macintosh),2016:01:26 15:00:33-07:00,uuid:cdc816dd-a4c8-9e4f-9877-3bac3231e284,,Yes,,,,2016:01:26 15:00:35-07:00,application/pdf,2016:01:26 15:00:35-07:00,,xmp.did:8E6778040F206811822AD6C3A649A31A,27,,,,,,,,1.5,,Adobe PDF Library 15.0,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,"Adobe XMP Core 5.6-c067 79.157747, 2015/03/30-23:40:42        "
20-51960_SNOWMASS_FRE-POWER_12-LANG-MANUAL_REV001.pdf,,,,,2016:03:17 15:50:05-06:00,Adobe InDesign CC 2015 (Macintosh),,Adobe InDesign CC 2015 (Macintosh),,,xmp.did:c0a555bb-1872-4e73-a49e-5131118b67dd,xmp.iid:a0261fff-96a5-4566-b87c-b090b6caa3f0,xmp.did:8E6778040F206811822AD6C3A649A31A,default,.,,xmp.id:bdf37236-bf9f-4044-b9ea-599b369ad08f,,,10.80,2024:04:18 13:11:55-04:00,2024:04:18 13:11:55-04:00,2024:04:18 13:11:55-04:00,20-51960_SNOWMASS_FRE-POWER_12-LANG-MANUAL_REV001.pdf,rw-r--r--,1691 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 2015 (Macintosh),2016:03:17 15:50:05-06:00,uuid:aa942053-f357-4c4e-a677-59e29689515b,,Yes,,,,2016:03:17 15:50:11-06:00,application/pdf,2016:03:17 15:50:11-06:00,,xmp.did:8E6778040F206811822AD6C3A649A31A,55,,,,,,,,1.5,,Adobe PDF Library 15.0,proof:pdf,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,"Adobe XMP Core 5.6-c067 79.157747, 2015/03/30-23:40:42        "
2-in-1-Power-Stand-with-Magsafe.pdf,,,,,2023:01:03 21:14:21Z,Word,,,,,,,,,.,,,,,10.80,2024:04:18 13:11:56-04:00,2024:04:18 13:11:56-04:00,2024:04:18 13:11:56-04:00,2-in-1-Power-Stand-with-Magsafe.pdf,rw-r--r--,301 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,No,,,,,application/pdf,2023:01:03 21:14:21Z,,,6,,,,,,,,1.3,,macOS Version 12.6 (Build 21G115) Quartz PDFContext,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Word - 2-in-1-Power-Stand-with-Magsafe.docx,,,,,
2-in-1-Wireless-Charging-Stand.pdf,,,,,2023:01:03 21:13:18Z,Word,,,,,,,,,.,,,,,10.80,2024:04:18 13:11:53-04:00,2024:04:18 13:11:53-04:00,2024:04:18 13:11:53-04:00,2-in-1-Wireless-Charging-Stand.pdf,rw-r--r--,288 kB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,No,,,,,application/pdf,2023:01:03 21:13:18Z,,,6,,,,,,,,1.3,,macOS Version 12.6 (Build 21G115) Quartz PDFContext,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Word - 2-in-1-Wireless-Charging-Stand.docx,,,,,
About+Brydge.pdf,,,,,,,,,,,,,,,.,,,,File is empty,10.80,2024:04:18 13:11:12-04:00,2024:04:18 13:11:12-04:00,2024:04:18 13:11:12-04:00,About+Brydge.pdf,rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About+RAM+Mounts.pdf,,,,,,,,,,,,,,,.,,,,File is empty,10.80,2024:04:18 13:11:14-04:00,2024:04:18 13:11:14-04:00,2024:04:18 13:11:14-04:00,About+RAM+Mounts.pdf,rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About+Tile.pdf,,,,,,,,,,,,,,,.,,,,File is empty,10.80,2024:04:18 13:11:14-04:00,2024:04:18 13:11:14-04:00,2024:04:18 13:11:14-04:00,About+Tile.pdf,rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agility-Reviewers-guide-6.19.14.pdf,,,,,,,,,,,,,,,.,,,,File is empty,10.80,2024:04:18 13:11:16-04:00,2024:04:18 13:11:16-04:00,2024:04:18 13:11:16-04:00,Agility-Reviewers-guide-6.19.14.pdf,rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amended_MAP_for_Select_SKUs_Updated_Dec292022.pdf,Sara Yamashiro,,,,2022:12:29 21:22:15Z,Excel,,,,,,,,,.,,,Standard V4.4 (128-bit),,10.80,2024:04:18 13:11:15-04:00,2024:04:18 13:11:16-04:00,2024:04:18 13:11:16-04:00,Amended_MAP_for_Select_SKUs_Updated_Dec292022.pdf,rw-r--r--,2.5 MB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,No,,,,,application/pdf,2022:12:29 21:22:15Z,,,436,,,,,,,,1.6,,macOS Version 12.6 (Build 21G115) Quartz PDFContext,,,,,,,,,,,,,,,,,,,,,,,,,Amended_MAP_for_Select_SKUs_Updated_Dec292022,,"Print, Copy, Extract, Print high-res",,,
Amended_MAP_for_Select_SKUs_Updated_Sep202023.pdf,Sara Yamashiro,,,,2023:09:21 21:22:29Z,Excel,,,,,,,,,.,,,Standard V4.4 (128-bit),,10.80,2024:04:18 13:11:16-04:00,2024:04:18 13:11:16-04:00,2024:04:18 13:11:16-04:00,Amended_MAP_for_Select_SKUs_Updated_Sep202023.pdf,rw-r--r--,2.4 MB,PDF,pdf,,,,,,,,,,,,,,,,,,,,,,,No,,,,,application/pdf,2023:09:21 21:22:29Z,,,396,,,,,,,,1.6,,macOS Version 13.5.2 (Build 22G91) Quartz PDFContext,,,,,,,,,,,,,,,,,,,,,,,,,SearchResults.xls  -  Compatibility Mode,,"Print, Copy, Extract, Print high-res",,,
amplify-case-compatibility.pdf,,,,,2019:07:31 10:24:47-06:00,Adobe InDesign 14.0 (Macintosh),,Adobe InDesign 14.0 (Macintosh),,,xmp.did:1a7dd590-aa98-41c2-adec-b83327629742,xmp.iid:9b2aea7b-7ed5-443d-b841-57c663632f71,xmp.did:1a7dd590-aa98-41c2-adec-b83327629742,default,.,,xmp.id:9a44c3d3-5f8d-47d2-b66e-ea77d3196a6d,,,10.80,2024:04:18 13:11:39-04:00,2024:04:18 13:11:39-04:00,2024:04:18 13:11:39-04:00,amplify-case-compatibility.pdf,rw-r--r--,49 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 14.0 (Macintosh),2019:07:31 10:24:47-06:00,uuid:9abcdca3-0876-ab42-a1fe-a3b5d26a42ff,en-US,Yes,,,,2019:07:31 10:24:47-06:00,application/pdf,2019:07:31 10:24:47-06:00,,xmp.did:1a7dd590-aa98-41c2-adec-b83327629742,1,,,,,,,,1.4,,Adobe PDF Library 15.0,proof:pdf,,,,,,,,,,,,,,,,,,,Yes,,,,,,False,,,,"Adobe XMP Core 5.6-c148 79.163765, 2019/01/24-18:11:46        "
apl59-instructions.pdf,,,,,2018:02:02 10:40:49-07:00,Adobe InDesign CC 13.0 (Macintosh),,Adobe InDesign CC 13.0 (Macintosh),,,xmp.did:9574b0d2-9830-448d-bbae-1330996511c7,xmp.iid:9107e199-8681-4386-82b3-0c7e84361a22,xmp.did:a3d70adc-dc25-4b87-b7f9-3cc3a6390495,default,.,,xmp.id:1ff64763-a640-4b5a-89cd-9fad4a1e5f52,,,10.80,2024:04:18 13:11:25-04:00,2024:04:18 13:11:25-04:00,2024:04:18 13:11:25-04:00,apl59-instructions.pdf,rw-r--r--,1924 kB,PDF,pdf,,,,,,,,,application/pdf,,,,,,converted,/,,from application/x-indesign to application/pdf,Adobe InDesign CC 13.0 (Macintosh),2018:02:02 10:40:49-07:00,uuid:12b92f21-3524-b644-94ef-05e2c4599d41,en-US,Yes,,,,2018:02:02 10:40:57-07:00,application/pdf,2018:02:02 10:40:57-07:00,,xmp.did:a3d70adc-dc25-4b87-b7f9-3cc3a6390495,20,,,,,,,,1.4,,Adobe PDF Library 15.0,proof:pdf,,,,,,,,,,,,,,,,,,,Yes,,,,,,False,,,,"Adobe XMP Core 5.6-c143 79.161210, 2017/08/11-10:28:36        "
Apple-Watch-Alpha-Flex-Installation-Web.pdf,,,,,2021:09:22 09:29:52-06:00,Adobe Illustrator 24.0 (Macintosh),Adobe Illustrator,Adobe Illustrator 24.0 (Macintosh),21.0.0,,xmp.did:6760aeb9-3907-440e-bde3-7cc0907cf274,xmp.iid:6760aeb9-3907-440e-bde3-7cc0907cf274,uuid:65E6390686CF11DBA6E2D887CEACB407,proof:pdf,.,,xmp.did:d3b075f5-2801-455b-9823-4bae33f483f0,,,10.80,2024:04:18 13:12:02-04:00,2024:04:18 13:12:02-04:00,2024:04:18 13:12:02-04:00,Apple-Watch-Alpha-Flex-Installation-Web.pdf,rw-r--r--,98 kB,PDF,pdf,False,SemiBold,Nudista,Nudista Semibold.otf,NudistaSemiBold,Open Type,Version 001.000,,application/pdf,,,False,True,,"saved, saved","/, /","xmp.iid:6760aeb9-3907-440e-bde3-7cc0907cf274, xmp.iid:d3b075f5-2801-455b-9823-4bae33f483f0",,"Adobe Illustrator 24.0 (Macintosh), Adobe Illustrator 24.0 (Macintosh)","2021:09:22 09:29:34-06:00, 2021:09:22 09:29:52-06:00",uuid:96782a91-ef07-a747-9340-9a08e94add87,,No,1000.000000,Pixels,662.000000,2021:09:22 09:31:18-06:00,application/pdf,2021:09:22 09:31:18-06:00,1,uuid:65E6390686CF11DBA6E2D887CEACB407,1,,,,,,,,1.5,"Cyan, Magenta, Yellow, Black, PANTONE 109 C, PANTONE Cool Gray 7 C",Adobe PDF library 15.00,proof:pdf,Web,,"0, 6","-1, 99","0.000000, 0.000000","255, 0, 0, 0, 0, 255, 255, 255, 45, 36, 36, 30, 59, 33, 33, 63, 74, 69, 55, 115, 157, 226, 188, 146, 100, 145, 143, 93, 90, 121, 153, 117, 87, 65, 109, 82, 57, 36, 19, 11, 0, 26, 51, 77, 102, 128, 153, 179, 204, 230, 242, 245, 67, 30, 37, 172, 212","6.182960, 0.000000","255, 0, 0, 255, 255, 255, 0, 0, 39, 28, 90, 147, 176, 238, 224, 198, 181, 146, 104, 181, 169, 171, 113, 49, 20, 45, 39, 0, 20, 30, 178, 134, 99, 71, 156, 124, 98, 76, 56, 33, 0, 26, 51, 77, 102, 128, 153, 179, 204, 230, 242, 169, 201, 147, 29, 123, 204","63.137257, 86.274513","0.000000, 99.334699","RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, CMYK, CMYK, Lab, Lab, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB, RGB","255, 0, 255, 255, 0, 0, 0, 255, 193, 237, 241, 247, 251, 252, 217, 140, 57, 0, 0, 34, 0, 41, 0, 46, 27, 102, 147, 158, 212, 237, 199, 153, 115, 83, 198, 166, 140, 117, 96, 66, 0, 26, 51, 77, 102, 128, 153, 179, 204, 230, 242, 63, 122, 255, 255, 255, 189","White, Black, RGB Red, RGB Yellow, RGB Green, RGB Cyan, RGB Blue, RGB Magenta, R=193 G=39 B=45, R=237 G=28 B=36, R=241 G=90 B=36, R=247 G=147 B=30, R=251 G=176 B=59, R=252 G=238 B=33, R=217 G=224 B=33, R=140 G=198 B=63, R=57 G=181 B=74, R=0 G=146 B=69, R=0 G=104 B=55, R=34 G=181 B=115, R=0 G=169 B=157, R=41 G=171 B=226, R=0 G=113 B=188, R=46 G=49 B=146, R=27 G=20 B=100, R=102 G=45 B=145, R=147 G=39 B=143, R=158 G=0 B=93, R=212 G=20 B=90, R=237 G=30 B=121, R=199 G=178 B=153, R=153 G=134 B=117, R=115 G=99 B=87, R=83 G=71 B=65, R=198 G=156 B=109, R=166 G=124 B=82, R=140 G=98 B=57, R=117 G=76 B=36, R=96 G=56 B=19, R=66 G=33 B=11, Folds, Dieline, PANTONE Cool Gray 7 C, PANTONE 109 C, R=0 G=0 B=0, R=26 G=26 B=26, R=51 G=51 B=51, R=77 G=77 B=77, R=102 G=102 B=102, R=128 G=128 B=128, R=153 G=153 B=153, R=179 G=179 B=179, R=204 G=204 B=204, R=230 G=230 B=230, R=242 G=242 B=242, R=63 G=169 B=245, R=122 G=201 B=67, R=255 G=147 B=30, R=255 G=29 B=37, R=255 G=123 B=172, R=189 G=204 B=212","100.000000, 100.000000, 100.000000, 100.000000","PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, SPOT, SPOT, SPOT, SPOT, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS, PROCESS","96.542299, 100.000000","Default Swatch Group, Grays, Web Color Group","0, 1, 1",,JPEG,256,(Binary data 8060 bytes),164,Web,,,,,"Adobe XMP Core 5.6-c148 79.164050, 2019/10/01-18:03:16        "
